Date,Open,High,Low,Close,Adj Close,Volume
4/30/2012,1650,1700,1400,1560,867.613098,2592475015
5/31/2012,1520,1650,1450,1630,906.544556,1691105000
6/30/2012,1620,1860,1590,1820,1271.682373,1908650000
7/31/2012,1850,1970,1750,1860,1299.631348,1751780000
8/31/2012,1910,1950,1830,1890,1320.593384,1439722500
9/30/2012,1880,1990,1860,1950,1362.516724,2042112500
10/31/2012,1950,1980,1790,1800,1257.707764,1660730000
11/30/2012,1770,1870,1730,1790,1250.720581,2038777515
12/31/2012,1790,1960,1760,1940,1355.529541,2175550000
1/31/2013,1930,2190,1910,2150,1502.262207,2112242500
2/28/2013,2170,2230,2050,2200,1537.198486,1647730000
3/31/2013,2200,2500,2080,2340,1635.020264,1826262555
4/30/2013,2340,2580,2210,2210,1544.185791,2012345015
5/31/2013,2220,2340,1900,2250,1847.013794,3418110000
6/30/2013,2200,2440,2100,2380,1953.72998,2567485000
7/31/2013,2390,2440,1980,2200,1805.968872,1994885000
8/31/2013,2200,2450,1950,2100,1723.879395,2644068508
9/30/2013,2100,2375,2100,2350,1929.103027,2019709500
10/31/2013,2300,2350,2025,2175,1785.446655,2055114500
11/30/2013,2200,2200,1980,2150,1764.924194,2299370000
12/31/2013,2150,2275,2060,2275,1867.535645,1758433800
1/31/2014,2250,2420,2170,2325,1908.580811,2015617700
2/28/2014,2310,2340,2130,2215,1818.282349,2873224292
3/31/2014,2230,2380,2150,2265,1859.327148,2353321100
4/30/2014,2265,2700,2265,2575,2292.219971,2241290200
5/31/2014,2520,2550,2405,2465,2194.300049,2142196300
6/30/2014,2480,2710,2465,2650,2358.983887,1688590300
7/31/2014,2650,2800,2590,2665,2372.336426,1855236000
8/31/2014,2710,3010,2675,2915,2594.881836,1769250600
9/30/2014,2865,2930,2680,2750,2448.002197,2482524900
10/31/2014,2760,2830,2590,2825,2514.765381,1559250500
11/30/2014,2835,2890,2725,2865,2550.373291,1296825900
12/31/2014,2865,2930,2780,2830,2519.216553,1403802200
1/31/2015,2830,3020,2800,2935,2612.686035,1785881500
2/28/2015,2945,2995,2770,2890,2572.62793,2020044400
3/31/2015,2885,2910,2595,2615,2327.827637,1995399300
4/30/2015,2615,2895,2615,2845,2599.273926,1435773200
5/31/2015,2870,2955,2800,2930,2676.932129,1384984300
6/30/2015,2935,2950,2800,2940,2686.068604,1169767700
7/31/2015,2940,2970,2590,2870,2622.114502,1735267000
8/31/2015,2865,2875,2485,2645,2416.547852,1156524800
9/30/2015,2640,2830,2600,2680,2448.524902,1525378700
10/31/2015,2700,2980,2660,2930,2676.932129,1506268100
11/30/2015,2955,3170,2900,3105,2836.817139,1623759200
12/31/2015,3105,3385,3045,3340,3051.52002,1748979300
1/31/2016,3290,3510,3140,3250,2969.293457,1932672100
2/29/2016,3250,3500,3250,3325,3037.815674,1995418100
3/31/2016,3330,3810,3305,3550,3243.381592,1498327300
4/30/2016,3410,3800,3410,3700,3380.42627,1976427900
5/31/2016,3730,4010,3710,3980,3718.857422,1808300000
6/30/2016,4010,4500,3950,4230,3952.453857,1606543500
7/31/2016,4350,4570,4060,4210,3933.765869,2205133300
8/31/2016,4150,4400,3950,4310,4027.205078,2010068700
9/30/2016,4360,4400,4120,4220,3943.109863,1365432500
10/31/2016,4230,4300,3640,3780,3531.980225,2680143800
11/30/2016,3820,4020,3670,3980,3718.857422,1489051100
12/31/2016,3980,4030,3780,3870,3634.040283,1280778000
1/31/2017,3910,3980,3830,3850,3615.259766,1489639700
2/28/2017,3870,4190,3810,4130,3878.187744,1790208500
3/31/2017,4130,4520,4010,4370,4103.554199,1580057700
4/30/2017,4370,4670,4270,4350,4084.773926,1852607900
5/31/2017,4350,4540,4290,4520,4360.458008,1522028900
6/30/2017,4530,4790,4500,4690,4524.45752,1679704700
7/31/2017,4700,4840,4650,4690,4524.45752,1252447900
8/31/2017,4690,4750,4610,4680,4514.810547,1389011400
9/30/2017,4690,4710,4010,4030,3887.753662,3756859100
10/31/2017,4070,4350,3910,4150,4003.518066,2341006100
11/30/2017,4150,4460,4110,4440,4283.281738,1292205800
12/31/2017,4440,4460,3920,3990,3849.165527,2519968900
1/31/2018,4030,4080,3920,4000,3858.8125,1525613100
2/28/2018,4050,4200,3520,3600,3472.931396,2369189900
3/31/2018,3640,3890,3570,3830,3694.812988,1160042700
4/30/2018,3830,3880,3250,3520,3395.755127,2510475300
5/31/2018,3520,3860,3510,3750,3750,1899123900
6/30/2018,3800,4110,3550,3570,3570,1901771000
7/31/2018,3570,3670,3270,3490,3490,2937529100
8/31/2018,3520,3670,3250,3640,3640,1766607400
9/30/2018,3610,3910,3460,3850,3850,1995151900
10/31/2018,3850,4110,3680,3680,3680,1810267200
11/30/2018,3740,3840,3610,3750,3750,1557088700
12/31/2018,3750,4050,3690,3900,3900,2058489500
1/31/2019,3910,3940,3730,3860,3860,1406071800
2/28/2019,3890,3970,3710,3960,3960,992294400
3/31/2019,3950,4090,3730,3830,3830,1028690500
4/26/2019,3800,3890,3800,3910,3910,66452700
